Mapping,Count_Irony,Rel_Freq_Irony,Count_Sarcasm,Rel_Freq_Sarcasm,Count_Satire,Rel_Freq_Satire,Total_Rel_Freq,Star_Irony,Star_Sarcasm,Star_Satire
DIRECTION - POSITION,138.0,0.010327022375215147,212.0,0.01620423450278988,144.0,0.013471793432500701,0.04000305031050573,***,***,***
SIZE - IMPORTANCE,83.0,0.006211180124223602,351.0,0.026828709011694565,38.0,0.0035550566002432405,0.036594945736161406,***,***,***
ACT - ACTION,140.0,0.010476689366160294,114.0,0.00871359779867003,101.0,0.009448966226962298,0.028639253391792623,*,*,*
ACT - MOTION,121.0,0.009054852952181397,152.0,0.011618130398226706,80.0,0.0074843296847226124,0.028157313035130718,***,***,***
POSSESSION - ACT,136.0,0.010177355384269999,142.0,0.010853779714132844,59.0,0.0055196931424829265,0.026550828240885768,***,***,***
PERCEPTION - BCP,73.0,0.005462845169497867,108.0,0.008254987388213713,54.0,0.005051922537187763,0.018769755094899344,***,***,***
ACTION - PAYMENT,53.0,0.0039661752600463965,60.0,0.004586104104563174,88.0,0.008232762653194873,0.016785042017804445,**,**,**
EVENT - MOTION,56.0,0.0041906757464641176,105.0,0.008025682182985553,46.0,0.0043034895687155015,0.016519847498165173,***,***,***
ACTION - DISAPPEARANCE,88.0,0.00658534760158647,67.0,0.0051211495834288774,43.0,0.004022827205538404,0.015729324390553752,***,***,***
IMPLEMENTATION - ACT,32.0,0.002394671855122353,109.0,0.008331422456623098,53.0,0.004958368416128731,0.01568446272787418,***,***,***
ACTIVITY - ACTION,80.0,0.005986679637805882,53.0,0.00405105862569747,59.0,0.0055196931424829265,0.01555743140598628,*,*,*
POSSESSION - ACTION,76.0,0.005687345655915588,70.0,0.005350454788657036,42.0,0.003929273084479371,0.014967073529051994,**,**,**
ACTION - MOTION,71.0,0.00531317817855272,70.0,0.005350454788657036,42.0,0.003929273084479371,0.014592906051689128,*,*,*
IMPORTANCE - SIZE,77.0,0.005762179151388162,84.0,0.006420545746388443,23.0,0.0021517447843577508,0.014334469682134357,***,***,***
BCP - STATE,52.0,0.003891341764573823,102.0,0.007796376977757395,15.0,0.0014033118158854898,0.013091030558216707,***,***,***
PERCEPTION - INSIGHT,55.0,0.004115842250991544,26.0,0.001987311778644042,73.0,0.006829450837309383,0.01293260486694497,***,***,***
DISCOVERY - INSIGHT,13.0,0.0009728354411434558,12.0,0.0009172208209126347,102.0,0.009542520348021331,0.011432576610077422,***,***,***
MOTION - ACT,46.0,0.0034423407917383822,62.0,0.004738974241381946,31.0,0.002900177752830012,0.01108149278595034,**,**,**
HCP - BCP,67.0,0.005013844196662426,52.0,0.003974623557288084,20.0,0.0018710824211806531,0.010859550175131162,***,***,***
POSSESSION - CONFORMITY,33.0,0.0024695053505949262,70.0,0.005350454788657036,27.0,0.0025259612685938817,0.010345921407845843,***,***,***
